Atom number: 0 
number of functions: 16 
0 0.01347162 15.6752927 5.614638980502037
0 0.04717229 3.6063578 1.8651411400891058
0 0.08619302 1.2080016 0.821222281824621
0 0.06931142 0.4726794 0.40628903242244413
0 0.01079603 0.20181 0.2145937672719459
1 0. 2.0281365 3.449940175775804
1 0. 2.0281365 3.449940175775804
1 0. 2.0281365 3.449940175775804
1 0. 0.535873 0.6535328651158758
1 0. 0.535873 0.6535328651158758
1 0. 0.535873 0.6535328651158758
2 0. 2.2165124 6.627233085631182
2 0. 2.2165124 6.627233085631182
2 0. 2.2165124 6.627233085631182
2 0. 2.2165124 6.627233085631182
2 0. 2.2165124 6.627233085631182
