Atom number: 0 
number of functions: 70 
0 0.08101315 2542.9401785 255.21852830250864
0 0.17103411 1029.5472946 129.53729340379954
0 0.42100118 424.9053546 66.70052392457842
0 1.19155559 178.4573708 34.79853493309847
0 2.13496345 76.1362742 18.369773755849923
0 2.80031369 32.9338653 9.798105715194534
0 1.27501974 14.4155436 5.272703619894507
0 -0.18819707 6.3718891 2.8583226356686047
0 0.07016025 2.8381742 1.5584374576977444
0 0.66913903 1.2711793 0.8532282009690847
0 0.39549939 0.5712407 0.4683003142669729
0 0.04653043 0.2569887 0.2572442125464426
1 8.73389081e-14 17.897599 52.4727172874912
1 -5.4793608e-15 17.897599 52.4727172874912
1 2.45551899e-15 17.897599 52.4727172874912
1 -6.39307615e-14 6.5346319 14.892461928861104
1 1.26574204e-14 6.5346319 14.892461928861104
1 -7.20441737e-15 6.5346319 14.892461928861104
1 1.57517578e-14 2.3523645 4.152607259364513
1 -1.13467125e-14 2.3523645 4.152607259364513
1 6.84132526e-15 2.3523645 4.152607259364513
1 -8.47108851e-17 0.8397377 1.1458285838656992
1 5.29490921e-15 0.8397377 1.1458285838656992
1 -3.3027217e-15 0.8397377 1.1458285838656992
1 -7.18637838e-16 0.2989335 0.315070920406407
1 -1.27644018e-15 0.2989335 0.315070920406407
1 7.87317107e-16 0.2989335 0.315070920406407
2 2.01996118e-14 7.690987 58.46259537536089
2 2.06189029e-15 7.690987 58.46259537536089
2 -1.68131318e-15 7.690987 58.46259537536089
2 3.76510972e-15 7.690987 58.46259537536089
2 8.86069868e-15 7.690987 58.46259537536089
2 2.66949626e-14 2.3044972 7.094434437472915
2 1.47212327e-15 2.3044972 7.094434437472915
2 -4.22725346e-15 2.3044972 7.094434437472915
2 7.80893462e-15 2.3044972 7.094434437472915
2 1.37870045e-14 2.3044972 7.094434437472915
2 -6.86301651e-15 0.8403987 1.2141122948703091
2 -1.76684975e-15 0.8403987 1.2141122948703091
2 -1.31013409e-16 0.8403987 1.2141122948703091
2 -5.64096277e-16 0.8403987 1.2141122948703091
2 -3.93324803e-15 0.8403987 1.2141122948703091
2 -3.96921707e-15 0.3303797 0.23696424789083495
2 -3.95756146e-16 0.3303797 0.23696424789083495
2 7.47373752e-16 0.3303797 0.23696424789083495
2 -1.46697409e-15 0.3303797 0.23696424789083495
2 -2.76286445e-15 0.3303797 0.23696424789083495
3 -9.07549256e-17 2.3331076 9.903932654339062
3 1.89841391e-17 2.3331076 9.903932654339062
3 -2.93017594e-17 2.3331076 9.903932654339062
3 1.30521913e-16 2.3331076 9.903932654339062
3 -7.21985211e-17 2.3331076 9.903932654339062
3 5.66837267e-17 2.3331076 9.903932654339062
3 -3.1750153e-17 2.3331076 9.903932654339062
3 -4.34878184e-17 0.8446137 1.0067814922340557
3 8.94443523e-18 0.8446137 1.0067814922340557
3 -1.38942175e-17 0.8446137 1.0067814922340557
3 6.20597465e-17 0.8446137 1.0067814922340557
3 -3.40162705e-17 0.8446137 1.0067814922340557
3 2.74209651e-17 0.8446137 1.0067814922340557
3 -1.49134028e-17 0.8446137 1.0067814922340557
4 -1.09754258e-14 1.40377 2.8281295963244846
4 1.20480186e-18 1.40377 2.8281295963244846
4 2.51006837e-19 1.40377 2.8281295963244846
4 -6.94791613e-16 1.40377 2.8281295963244846
4 -1.28348982e-19 1.40377 2.8281295963244846
4 7.96805307e-20 1.40377 2.8281295963244846
4 3.40530756e-19 1.40377 2.8281295963244846
4 -1.62721897e-15 1.40377 2.8281295963244846
4 -3.82631833e-19 1.40377 2.8281295963244846
