Atom number: 0 
number of functions: 77 
0 0.72413324 7399.0303145 568.5794999711488
0 1.37001926 2710.1675859 267.70544355803855
0 4.31523717 1034.3279062 129.98815327089616
0 8.78407126 410.4645411 64.99303628428798
0 10.50652163 168.9762502 33.40252851963449
0 3.11149915 71.9687889 17.6103601576741
0 -1.6162769 31.6172683 9.50283854727827
0 4.52028943 14.2796836 5.2353898993254075
0 5.5828833 6.6060948 2.936761604305839
0 0.26527121 3.1181477 1.6723709092725476
0 -0.46711034 1.4954039 0.9637823616502913
0 0.69445115 0.7254779 0.5602453139091637
0 0.38690266 0.3544216 0.32737855585746856
0 0.05772119 0.1735525 0.1916387139503388
1 -1.8362086e-14 12.6998799 34.17351136571436
1 -7.33335644e-14 12.6998799 34.17351136571436
1 4.91023755e-14 12.6998799 34.17351136571436
1 1.85062559e-14 4.4295784 9.15994948907553
1 8.771049e-14 4.4295784 9.15994948907553
1 -1.45776102e-13 4.4295784 9.15994948907553
1 -4.05853428e-15 1.5232889 2.412225669753208
1 -5.27510564e-14 1.5232889 2.412225669753208
1 1.19235531e-13 1.5232889 2.412225669753208
1 -2.9479387e-15 0.5194667 0.6286186024158914
1 2.04883025e-14 0.5194667 0.6286186024158914
1 -4.98216013e-14 0.5194667 0.6286186024158914
1 1.53354401e-15 0.1766547 0.1632475167185449
1 -4.32840265e-15 0.1766547 0.1632475167185449
1 1.04334469e-14 0.1766547 0.1632475167185449
2 0.04600582 16.8546461 230.76440616319258
2 -0.00842582 16.8546461 230.76440616319258
2 -0.01707324 16.8546461 230.76440616319258
2 0.04981789 16.8546461 230.76440616319258
2 -0.06500289 16.8546461 230.76440616319258
2 -0.03540419 5.0810461 28.302672295583175
2 0.00648416 5.0810461 28.302672295583175
2 0.01313886 5.0810461 28.302672295583175
2 -0.03833781 5.0810461 28.302672295583175
2 0.05002356 5.0810461 28.302672295583175
2 0.0405932 1.5102323 3.386382619986176
2 -0.00743451 1.5102323 3.386382619986176
2 -0.01506456 1.5102323 3.386382619986176
2 0.04395677 1.5102323 3.386382619986176
2 -0.05735525 1.5102323 3.386382619986176
2 0.04284772 0.4451331 0.39927007638418666
2 -0.00784742 0.4451331 0.39927007638418666
2 -0.01590123 0.4451331 0.39927007638418666
2 0.04639811 0.4451331 0.39927007638418666
2 -0.06054072 0.4451331 0.39927007638418666
2 0.00058915 0.1308362 0.04684716558563454
2 -0.0001079 0.1308362 0.04684716558563454
2 -0.00021864 0.1308362 0.04684716558563454
2 0.00063797 0.1308362 0.04684716558563454
2 -0.00083243 0.1308362 0.04684716558563454
3 -5.14214974e-17 1.080986 1.7540808442771205
3 -6.4666352e-17 1.080986 1.7540808442771205
3 2.27746565e-17 1.080986 1.7540808442771205
3 -2.38243562e-17 1.080986 1.7540808442771205
3 -3.3303834e-17 1.080986 1.7540808442771205
3 -5.18644397e-20 1.080986 1.7540808442771205
3 2.91628938e-16 1.080986 1.7540808442771205
3 1.16680311e-17 0.4161474 0.20476730633606524
3 6.37213157e-17 0.4161474 0.20476730633606524
3 2.49314927e-16 0.4161474 0.20476730633606524
3 1.45873276e-17 0.4161474 0.20476730633606524
3 1.14094439e-17 0.4161474 0.20476730633606524
3 -3.95262272e-18 0.4161474 0.20476730633606524
3 6.2389221e-16 0.4161474 0.20476730633606524
4 -0.00033486 0.67071 0.371027478220258
4 0.00011988 0.67071 0.371027478220258
4 0.00024292 0.67071 0.371027478220258
4 -0.00031268 0.67071 0.371027478220258
4 0.00040799 0.67071 0.371027478220258
4 0.00023865 0.67071 0.371027478220258
4 4.72525935e-05 0.67071 0.371027478220258
4 0.00019236 0.67071 0.371027478220258
4 0.00071455 0.67071 0.371027478220258
