Atom number: 0 
number of functions: 77 
0 0.5712322 5826.765766 475.3141706303307
0 1.0040063 2173.1214409 226.84180261910072
0 3.28755914 839.4966509 111.15380094550784
0 6.7331496 335.2659622 55.84087183503559
0 8.70231404 138.1170978 28.714130862362722
0 3.23500418 58.5516054 15.085655912285427
0 -1.24330384 25.4744274 8.081433720687475
0 2.65605743 11.3418415 4.404765298204361
0 4.35266557 5.1513356 2.4369688359258195
0 0.86500145 2.3788654 1.365172384299623
0 -0.30864635 1.1130498 0.7723177908000777
0 0.26441502 0.5257427 0.44003784648352284
0 0.23029764 0.2497578 0.2517963250995755
0 0.04209106 0.1188768 0.14428889972070524
1 -2.91031961e-14 8.7836931 21.55442934828446
1 1.27520952e-14 8.7836931 21.55442934828446
1 -3.3607665e-14 8.7836931 21.55442934828446
1 3.30090969e-14 2.6158248 4.7418837633561655
1 -8.83647465e-15 2.6158248 4.7418837633561655
1 3.15384952e-14 2.6158248 4.7418837633561655
1 -2.21206934e-14 0.826604 1.1234712575068029
1 5.20745279e-15 0.826604 1.1234712575068029
1 -1.39754011e-14 0.826604 1.1234712575068029
1 9.77360158e-15 0.2711487 0.27890063054216657
1 -2.59585861e-15 0.2711487 0.27890063054216657
1 3.91681345e-15 0.2711487 0.27890063054216657
1 -2.25655762e-15 0.090087 0.07035058994923077
1 6.51542743e-16 0.090087 0.07035058994923077
1 -6.55158603e-16 0.090087 0.07035058994923077
2 0.03433114 10.8892767 107.43796280808024
2 -0.01372493 10.8892767 107.43796280808024
2 0.0096158 10.8892767 107.43796280808024
2 0.00077675 10.8892767 107.43796280808024
2 -0.00213769 10.8892767 107.43796280808024
2 -0.02455078 2.6605925 9.122662132020265
2 0.00981493 2.6605925 9.122662132020265
2 -0.00687642 2.6605925 9.122662132020265
2 -0.00055547 2.6605925 9.122662132020265
2 0.0015287 2.6605925 9.122662132020265
2 0.03396601 0.8067528 1.1303301152765508
2 -0.01357896 0.8067528 1.1303301152765508
2 0.00951353 0.8067528 1.1303301152765508
2 0.00076849 0.8067528 1.1303301152765508
2 -0.00211496 0.8067528 1.1303301152765508
2 0.04939384 0.2859848 0.18408127794765217
2 -0.0197467 0.2859848 0.18408127794765217
2 0.01383471 0.2859848 0.18408127794765217
2 0.00111755 0.2859848 0.18408127794765217
2 -0.0030756 0.2859848 0.18408127794765217
2 0.00382867 0.1074329 0.03318178381911046
2 -0.00153063 0.1074329 0.03318178381911046
2 0.00107237 0.1074329 0.03318178381911046
2 8.66249547e-05 0.1074329 0.03318178381911046
2 -0.0002384 0.1074329 0.03318178381911046
3 7.62901241e-18 0.8103816 0.9172885783628596
3 2.36511458e-18 0.8103816 0.9172885783628596
3 2.16389461e-18 0.8103816 0.9172885783628596
3 8.67849144e-18 0.8103816 0.9172885783628596
3 6.35650546e-18 0.8103816 0.9172885783628596
3 -1.43517398e-17 0.8103816 0.9172885783628596
3 -1.62441505e-17 0.8103816 0.9172885783628596
3 1.36538796e-17 0.1988529 0.03887328924976495
3 2.43162206e-18 0.1988529 0.03887328924976495
3 7.83054903e-18 0.1988529 0.03887328924976495
3 2.86549659e-18 0.1988529 0.03887328924976495
3 -6.00197645e-19 0.1988529 0.03887328924976495
3 2.39446309e-18 0.1988529 0.03887328924976495
3 -1.83057316e-19 0.1988529 0.03887328924976495
4 -0.00069733 0.40149 0.0904775725425988
4 0.00059301 0.40149 0.0904775725425988
4 -0.00041547 0.40149 0.0904775725425988
4 -7.44331479e-05 0.40149 0.0904775725425988
4 0.00020485 0.40149 0.0904775725425988
4 -9.69648844e-06 0.40149 0.0904775725425988
4 -3.60713569e-05 0.40149 0.0904775725425988
4 2.74846394e-06 0.40149 0.0904775725425988
4 2.30120147e-06 0.40149 0.0904775725425988
