Atom number: 0 
number of functions: 70 
0 0.14296216 2876.8216605 279.95923443026186
0 0.29577135 1004.7443032 127.18964541427866
0 1.02203058 369.7579954 60.096374478263876
0 2.31161779 142.9442404 29.46355103391958
0 3.5719865 57.8366425 14.947287826773351
0 2.43777435 24.3864983 7.821178090123978
0 -0.0120878 10.6622662 4.205302419986136
0 -0.10729225 4.8070437 2.3137617908121966
0 0.80192026 2.221077 1.2966799732646255
0 0.72674092 1.0447795 0.7365098749756717
0 0.23860981 0.4968425 0.4217685047718013
0 0.01399841 0.2371384 0.24219295507675304
1 -8.26237758e-14 64.2613382 259.344650598845
1 2.99695545e-14 64.2613382 259.344650598845
1 -1.39641793e-15 64.2613382 259.344650598845
1 1.09718521e-13 16.3006076 46.686877551894426
1 -2.88002556e-14 16.3006076 46.686877551894426
1 9.69354653e-16 16.3006076 46.686877551894426
1 -6.18836181e-14 4.3550542 8.96772007217693
1 1.42731292e-14 4.3550542 8.96772007217693
1 2.70755078e-16 4.3550542 8.96772007217693
1 2.11748379e-14 1.2019554 1.7939094971453944
1 -4.79453711e-15 1.2019554 1.7939094971453944
1 -4.95505072e-16 1.2019554 1.7939094971453944
1 -3.97358745e-15 0.3354196 0.3638527266163466
1 9.49163564e-16 0.3354196 0.3638527266163466
1 1.36635676e-16 0.3354196 0.3638527266163466
2 0.04219477 9.2146611 80.21366295188932
2 -0.05304066 9.2146611 80.21366295188932
2 0.01617743 9.2146611 80.21366295188932
2 0.0141535 9.2146611 80.21366295188932
2 -0.00951918 9.2146611 80.21366295188932
2 0.06356137 2.8435251 10.24847679166923
2 -0.0798994 2.8435251 10.24847679166923
2 0.02436936 2.8435251 10.24847679166923
2 0.02132055 2.8435251 10.24847679166923
2 -0.0143395 2.8435251 10.24847679166923
2 0.03761118 0.9955759 1.6332009074019262
2 -0.04727889 0.9955759 1.6332009074019262
2 0.01442009 0.9955759 1.6332009074019262
2 0.01261601 0.9955759 1.6332009074019262
2 -0.00848511 0.9955759 1.6332009074019262
2 0.00483784 0.3649441 0.28203666018013385
2 -0.00608137 0.3649441 0.28203666018013385
2 0.00185482 0.3649441 0.28203666018013385
2 0.00162277 0.3649441 0.28203666018013385
2 -0.00109142 0.3649441 0.28203666018013385
3 1.24371909e-16 2.6420115 13.101093101420968
3 -2.76054725e-17 2.6420115 13.101093101420968
3 -8.56811544e-18 2.6420115 13.101093101420968
3 -4.47082693e-17 2.6420115 13.101093101420968
3 -6.82824793e-18 2.6420115 13.101093101420968
3 -4.24748777e-17 2.6420115 13.101093101420968
3 -1.4952986e-17 2.6420115 13.101093101420968
3 -4.64571109e-17 0.7345613 0.7353897101095145
3 9.39530718e-18 0.7345613 0.7353897101095145
3 -4.15405618e-19 0.7345613 0.7353897101095145
3 7.80020491e-18 0.7345613 0.7353897101095145
3 4.99728336e-18 0.7345613 0.7353897101095145
3 4.85365875e-18 0.7345613 0.7353897101095145
3 -1.72864955e-18 0.7345613 0.7353897101095145
4 -5.79873309e-08 1.3931 2.7694066388498273
4 -9.46479955e-07 1.3931 2.7694066388498273
4 2.88676943e-07 1.3931 2.7694066388498273
4 7.00916374e-07 1.3931 2.7694066388498273
4 -4.71413193e-07 1.3931 2.7694066388498273
4 -2.18201762e-07 1.3931 2.7694066388498273
4 2.68355645e-07 1.3931 2.7694066388498273
4 2.83667744e-08 1.3931 2.7694066388498273
4 -6.96737794e-08 1.3931 2.7694066388498273
