Atom number: 0 
number of functions: 77 
0 0.6334349 7402.6405628 568.7875598025533
0 1.0364061 2444.3806296 247.76315197594622
0 3.51964371 1031.0485275 129.67893106158127
0 7.86457819 387.5215861 62.24894802546478
0 9.32726567 159.3342518 31.962589066731116
0 3.58794039 72.5438912 17.7157983200846
0 -1.11437166 29.2976155 8.97499671966167
0 2.88046738 13.1685047 4.926771716165324
0 4.97298115 6.4235268 2.8756779510992794
0 1.21916144 3.1479365 1.684339232724391
0 -0.50356062 1.4941282 0.9631656578723533
0 0.38568585 0.6745215 0.5304652510946215
0 0.37548235 0.3252877 0.30698052433092876
0 0.05382726 0.1527285 0.17412060081168126
1 2.12430796e-13 10.6100703 27.29530268671283
1 -2.91588461e-14 10.6100703 27.29530268671283
1 9.98153987e-15 10.6100703 27.29530268671283
1 -2.01450294e-13 3.3972489 6.57429664289326
1 3.75144503e-14 3.3972489 6.57429664289326
1 -2.89655119e-15 3.3972489 6.57429664289326
1 9.84464885e-14 1.0821336 1.5732262723879036
1 -2.39321106e-14 1.0821336 1.5732262723879036
1 -1.19285915e-15 1.0821336 1.5732262723879036
1 -3.11017593e-14 0.3436265 0.37501479235477236
1 9.60844445e-15 0.3436265 0.37501479235477236
1 1.25065744e-15 0.3436265 0.37501479235477236
1 7.77024104e-15 0.1090044 0.08927813796876967
1 -2.04069297e-15 0.1090044 0.08927813796876967
1 -2.62165107e-16 0.1090044 0.08927813796876967
2 2.09150323e-14 5.5575593 33.10980634424243
2 2.45301337e-14 5.5575593 33.10980634424243
2 -1.84467098e-15 5.5575593 33.10980634424243
2 -1.00731426e-14 5.5575593 33.10980634424243
2 9.6525797e-15 5.5575593 33.10980634424243
2 -2.83799742e-14 2.603324 8.78180612395814
2 -2.6846245e-14 2.603324 8.78180612395814
2 -6.29826168e-16 2.603324 8.78180612395814
2 1.04650584e-14 2.603324 8.78180612395814
2 -1.33223809e-14 2.603324 8.78180612395814
2 2.94959534e-14 1.2378589 2.3910241209332823
2 1.61286484e-14 1.2378589 2.3910241209332823
2 3.64875464e-15 1.2378589 2.3910241209332823
2 -8.29495861e-15 1.2378589 2.3910241209332823
2 9.65443468e-15 1.2378589 2.3910241209332823
2 -1.44244825e-14 0.5939646 0.6614399768074216
2 1.56783781e-14 0.5939646 0.6614399768074216
2 1.04323555e-14 0.5939646 0.6614399768074216
2 -1.56397289e-14 0.5939646 0.6614399768074216
2 1.45264891e-14 0.5939646 0.6614399768074216
2 2.09609382e-15 0.2858732 0.18395558660860328
2 -9.86033176e-15 0.2858732 0.18395558660860328
2 -5.80332556e-15 0.2858732 0.18395558660860328
2 9.29599762e-15 0.2858732 0.18395558660860328
2 -8.29730943e-15 0.2858732 0.18395558660860328
3 5.96552505e-16 1.0262041 1.5603800065698759
3 2.28635885e-16 1.0262041 1.5603800065698759
3 -2.41890453e-16 1.0262041 1.5603800065698759
3 7.9700221e-16 1.0262041 1.5603800065698759
3 3.65911161e-17 1.0262041 1.5603800065698759
3 3.63149177e-16 1.0262041 1.5603800065698759
3 5.30302044e-17 1.0262041 1.5603800065698759
3 2.08324878e-16 0.2959414 0.0950971121254385
3 8.40726159e-17 0.2959414 0.0950971121254385
3 -8.71435607e-17 0.2959414 0.0950971121254385
3 2.74425285e-16 0.2959414 0.0950971121254385
3 1.55298346e-17 0.2959414 0.0950971121254385
3 1.34255217e-16 0.2959414 0.0950971121254385
3 1.70375251e-17 0.2959414 0.0950971121254385
4 -1.76010936e-15 0.5510844 0.21616493559340083
4 1.18499034e-19 0.5510844 0.21616493559340083
4 4.93443592e-19 0.5510844 0.21616493559340083
4 -1.88002345e-16 0.5510844 0.21616493559340083
4 8.67364926e-20 0.5510844 0.21616493559340083
4 -4.0495828e-19 0.5510844 0.21616493559340083
4 -8.12588646e-19 0.5510844 0.21616493559340083
4 -5.04228111e-16 0.5510844 0.21616493559340083
4 1.37125199e-19 0.5510844 0.21616493559340083
