Atom number: 0 
number of functions: 12
0 0.0718864 1861.0916331 201.94630426246215
0 0.17154792 642.9939764 91.0050034712799
0 0.54916665 235.1105725 42.79216027235321
0 1.32728623 90.7028894 20.947197802874577
0 2.15463414 36.7794552 10.644225366933398
0 1.79052083 15.6046273 5.595644851503857
0 0.2758609 6.8907294 3.0311608903618095
0 -0.17417712 3.147885 1.68431856593651
0 0.19039431 1.4777287 0.9552259746167157
0 0.39695291 0.7076466 0.54988568060601
0 0.16623354 0.3430122 0.3194421847561347
0 0.01699268 0.1669453 0.1861404416009021
