Atom number: 0 
number of functions: 12
0 0.18434594 3514.9201549 325.3469129090204
0 0.35823273 1231.2458815 148.13875327046176
0 1.28747154 454.1367336 70.1132447542937
0 2.83431568 175.8376258 34.41469703129746
0 4.32978504 71.2081775 17.470586917132263
0 2.78648213 30.0316883 9.143130174357003
0 -0.14491799 13.1259023 4.914812653698151
0 0.00646138 5.9126861 2.702394259348757
0 1.18186813 2.7284431 1.5130255719358408
0 0.92872271 1.2813993 0.8583678721119641
0 0.30798738 0.6082793 0.4908936003398068
0 0.01753184 0.2897894 0.2814958288764199
