Atom number: 0 
number of functions: 12
0 0.14296216 2876.8216605 279.95923443026186
0 0.29577135 1004.7443032 127.18964541427866
0 1.02203058 369.7579954 60.096374478263876
0 2.31161779 142.9442404 29.46355103391958
0 3.5719865 57.8366425 14.947287826773351
0 2.43777435 24.3864983 7.821178090123978
0 -0.0120878 10.6622662 4.205302419986136
0 -0.10729225 4.8070437 2.3137617908121966
0 0.80192026 2.221077 1.2966799732646255
0 0.72674092 1.0447795 0.7365098749756717
0 0.23860981 0.4968425 0.4217685047718013
0 0.01399841 0.2371384 0.24219295507675304
