Atom number: 0 
number of functions: 14
0 0.6334349 7402.6405628 568.7875598025533
0 1.0364061 2444.3806296 247.76315197594622
0 3.51964371 1031.0485275 129.67893106158127
0 7.86457819 387.5215861 62.24894802546478
0 9.32726567 159.3342518 31.962589066731116
0 3.58794039 72.5438912 17.7157983200846
0 -1.11437166 29.2976155 8.97499671966167
0 2.88046738 13.1685047 4.926771716165324
0 4.97298115 6.4235268 2.8756779510992794
0 1.21916144 3.1479365 1.684339232724391
0 -0.50356062 1.4941282 0.9631656578723533
0 0.38568585 0.6745215 0.5304652510946215
0 0.37548235 0.3252877 0.30698052433092876
0 0.05382726 0.1527285 0.17412060081168126
