Atom number: 0 
number of functions: 14
0 0.72363609 7399.0303145 568.5794999711488
0 1.37124772 2710.1675859 267.70544355803855
0 4.31321741 1034.3279062 129.98815327089616
0 8.78651335 410.4645411 64.99303628428798
0 10.50305413 168.9762502 33.40252851963449
0 3.11488217 71.9687889 17.6103601576741
0 -1.62059606 31.6172683 9.50283854727827
0 4.5284256 14.2796836 5.2353898993254075
0 5.57995645 6.6060948 2.936761604305839
0 0.26726954 3.1181477 1.6723709092725476
0 -0.47704635 1.4954039 0.9637823616502913
0 0.70843823 0.7254779 0.5602453139091637
0 0.38470357 0.3544216 0.32737855585746856
0 0.05592914 0.1735525 0.1916387139503388
